"games","gold","silver","bronze","event","gender","year","location","event_type","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
"1964 Tokyo","Abebe Bikila Ethiopia","Basil Heatley Great Britain","Kokichi Tsuburaya Japan","Marathon","men","1964","Tokyo","Running","Abebe Bikila ","Basil Heatley ","Kokichi Tsuburaya ","Ethiopia","Great Britain","Japan"
"1968 Mexico City","Mamo Wolde Ethiopia","Kenji Kimihara Japan","Mike Ryan New Zealand","Marathon","men","1968","Mexico City","Running","Mamo Wolde ","Kenji Kimihara ","Mike Ryan ","Ethiopia","Japan","New Zealand"
"1972 Munich","Frank Shorter United States","Karel Lismont Belgium","Mamo Wolde Ethiopia","Marathon","men","1972","Munich","Running","Frank Shorter ","Karel Lismont ","Mamo Wolde ","United States","Belgium","Ethiopia"
"1976 Montreal","Waldemar Cierpinski East Germany","Frank Shorter United States","Karel Lismont Belgium","Marathon","men","1976","Montreal","Running","Waldemar Cierpinski ","Frank Shorter ","Karel Lismont ","East Germany","United States","Belgium"
"1980 Moscow","Waldemar Cierpinski East Germany","Gerard Nijboer Netherlands","Satymkul Dzhumanazarov Soviet Union","Marathon","men","1980","Moscow","Running","Waldemar Cierpinski ","Gerard Nijboer ","Satymkul Dzhumanazarov ","East Germany","Netherlands","Soviet Union"
"1984 Los Angeles","Carlos Lopes Portugal","John Treacy Ireland","Charlie Spedding Great Britain","Marathon","men","1984","Los Angeles","Running","Carlos Lopes ","John Treacy ","Charlie Spedding ","Portugal","Ireland","Great Britain"
"1988 Seoul","Gelindo Bordin Italy","Douglas Wakiihuri Kenya","Ahmed Salah Djibouti","Marathon","men","1988","Seoul","Running","Gelindo Bordin ","Douglas Wakiihuri ","Ahmed Salah ","Italy","Kenya","Djibouti"
"1992 Barcelona","Hwang Young-cho South Korea","Koichi Morishita Japan","Stephan Freigang Germany","Marathon","men","1992","Barcelona","Running","Hwang Young-cho ","Koichi Morishita ","Stephan Freigang ","South Korea","Japan","Germany"
"1996 Atlanta","Josia Thugwane South Africa","Lee Bong-ju South Korea","Erick Wainaina Kenya","Marathon","men","1996","Atlanta","Running","Josia Thugwane ","Lee Bong-ju ","Erick Wainaina ","South Africa","South Korea","Kenya"
"2000 Sydney","Gezahegne Abera Ethiopia","Erick Wainaina Kenya","Tesfaye Tola Ethiopia","Marathon","men","2000","Sydney","Running","Gezahegne Abera ","Erick Wainaina ","Tesfaye Tola ","Ethiopia","Kenya","Ethiopia"
"2004 Athens","Stefano Baldini Italy","Mebrahtom Keflezighi United States","Vanderlei de Lima Brazil","Marathon","men","2004","Athens","Running","Stefano Baldini ","Mebrahtom Keflezighi ","Vanderlei de Lima ","Italy","United States","Brazil"
"2008 Beijing","Samuel Wanjiru Kenya","Jaouad Gharib Morocco","Tsegay Kebede Ethiopia","Marathon","men","2008","Beijing","Running","Samuel Wanjiru ","Jaouad Gharib ","Tsegay Kebede ","Kenya","Morocco","Ethiopia"
"2012 London","Stephen Kiprotich Uganda","Abel Kirui Kenya","Wilson Kipsang Kiprotich Kenya","Marathon","men","2012","London","Running","Stephen Kiprotich ","Abel Kirui ","Wilson Kipsang Kiprotich ","Uganda","Kenya","Kenya"
"2016 Rio de Janeiro","Eliud Kipchoge Kenya","Feyisa Lelisa Ethiopia","Galen Rupp United States","Marathon","men","2016","Rio de Janeiro","Running","Eliud Kipchoge ","Feyisa Lelisa ","Galen Rupp ","Kenya","Ethiopia","United States"
"1896 Athens","Thomas Curtis United States","Grantley Goulding Great Britain","none awarded","110 metres hurdles","men","1896","Athens","Running","Thomas Curtis ","Grantley Goulding ","none awarded","United States","Great Britain",NA
"1900 Paris","Alvin Kraenzlein United States","John McLean United States","Fred Moloney United States","110 metres hurdles","men","1900","Paris","Running","Alvin Kraenzlein ","John McLean ","Fred Moloney ","United States","United States","United States"
"1904 St. Louis","Frederick Schule United States","Thaddeus Shideler United States","Lesley Ashburner United States","110 metres hurdles","men","1904","St. Louis","Running","Frederick Schule ","Thaddeus Shideler ","Lesley Ashburner ","United States","United States","United States"
"1908 London","Forrest Smithson United States","John Garrels United States","Arthur Shaw United States","110 metres hurdles","men","1908","London","Running","Forrest Smithson ","John Garrels ","Arthur Shaw ","United States","United States","United States"
"1912 Stockholm","Fred Kelly United States","James Wendell United States","Martin Hawkins United States","110 metres hurdles","men","1912","Stockholm","Running","Fred Kelly ","James Wendell ","Martin Hawkins ","United States","United States","United States"
"1920 Antwerp","Earl Thomson Canada","Harold Barron United States","Feg Murray United States","110 metres hurdles","men","1920","Antwerp","Running","Earl Thomson ","Harold Barron ","Feg Murray ","Canada","United States","United States"
"1924 Paris","Daniel Kinsey United States","Sid Atkinson South Africa","Sten Pettersson Sweden","110 metres hurdles","men","1924","Paris","Running","Daniel Kinsey ","Sid Atkinson ","Sten Pettersson ","United States","South Africa","Sweden"
"1928 Amsterdam","Sid Atkinson South Africa","Steve Anderson United States","John Collier United States","110 metres hurdles","men","1928","Amsterdam","Running","Sid Atkinson ","Steve Anderson ","John Collier ","South Africa","United States","United States"
"1932 Los Angeles","George Saling United States","Percy Beard United States","Don Finlay Great Britain","110 metres hurdles","men","1932","Los Angeles","Running","George Saling ","Percy Beard ","Don Finlay ","United States","United States","Great Britain"
"1936 Berlin","Forrest Towns United States","Don Finlay Great Britain","Fritz Pollard United States","110 metres hurdles","men","1936","Berlin","Running","Forrest Towns ","Don Finlay ","Fritz Pollard ","United States","Great Britain","United States"
"1948 London","William Porter United States","Clyde Scott United States","Craig Dixon United States","110 metres hurdles","men","1948","London","Running","William Porter ","Clyde Scott ","Craig Dixon ","United States","United States","United States"
"1952 Helsinki","Harrison Dillard United States","Jack Davis United States","Arthur Barnard United States","110 metres hurdles","men","1952","Helsinki","Running","Harrison Dillard ","Jack Davis ","Arthur Barnard ","United States","United States","United States"
"1956 Melbourne","Lee Calhoun United States","Jack Davis United States","Joel Shankle United States","110 metres hurdles","men","1956","Melbourne","Running","Lee Calhoun ","Jack Davis ","Joel Shankle ","United States","United States","United States"
"1960 Rome","Lee Calhoun United States","Willie May United States","Hayes Jones United States","110 metres hurdles","men","1960","Rome","Running","Lee Calhoun ","Willie May ","Hayes Jones ","United States","United States","United States"
"1964 Tokyo","Hayes Jones United States","Blaine Lindgren United States","Anatoly Mikhailov Soviet Union","110 metres hurdles","men","1964","Tokyo","Running","Hayes Jones ","Blaine Lindgren ","Anatoly Mikhailov ","United States","United States","Soviet Union"
"1968 Mexico City","Willie Davenport United States","Ervin Hall United States","Eddy Ottoz Italy","110 metres hurdles","men","1968","Mexico City","Running","Willie Davenport ","Ervin Hall ","Eddy Ottoz ","United States","United States","Italy"
"1972 Munich","Rod Milburn United States","Guy Drut France","Thomas Hill United States","110 metres hurdles","men","1972","Munich","Running","Rod Milburn ","Guy Drut ","Thomas Hill ","United States","France","United States"
"1976 Montreal","Guy Drut France","Alejandro Casañas Cuba","Willie Davenport United States","110 metres hurdles","men","1976","Montreal","Running","Guy Drut ","Alejandro Casañas ","Willie Davenport ","France","Cuba","United States"
"1980 Moscow","Thomas Munkelt East Germany","Alejandro Casañas Cuba","Aleksandr Puchkov Soviet Union","110 metres hurdles","men","1980","Moscow","Running","Thomas Munkelt ","Alejandro Casañas ","Aleksandr Puchkov ","East Germany","Cuba","Soviet Union"
"1984 Los Angeles","Roger Kingdom United States","Greg Foster United States","Arto Bryggare Finland","110 metres hurdles","men","1984","Los Angeles","Running","Roger Kingdom ","Greg Foster ","Arto Bryggare ","United States","United States","Finland"
"1988 Seoul","Roger Kingdom United States","Colin Jackson Great Britain","Tonie Campbell United States","110 metres hurdles","men","1988","Seoul","Running","Roger Kingdom ","Colin Jackson ","Tonie Campbell ","United States","Great Britain","United States"
"1992 Barcelona","Mark McKoy Canada","Tony Dees United States","Jack Pierce United States","110 metres hurdles","men","1992","Barcelona","Running","Mark McKoy ","Tony Dees ","Jack Pierce ","Canada","United States","United States"
"1996 Atlanta","Allen Johnson United States","Mark Crear United States","Florian Schwarthoff Germany","110 metres hurdles","men","1996","Atlanta","Running","Allen Johnson ","Mark Crear ","Florian Schwarthoff ","United States","United States","Germany"
"2000 Sydney","Anier García Cuba","Terrence Trammell United States","Mark Crear United States","110 metres hurdles","men","2000","Sydney","Running","Anier García ","Terrence Trammell ","Mark Crear ","Cuba","United States","United States"
"2004 Athens","Liu Xiang China","Terrence Trammell United States","Anier García Cuba","110 metres hurdles","men","2004","Athens","Running","Liu Xiang ","Terrence Trammell ","Anier García ","China","United States","Cuba"
"2008 Beijing","Dayron Robles Cuba","David Payne United States","David Oliver United States","110 metres hurdles","men","2008","Beijing","Running","Dayron Robles ","David Payne ","David Oliver ","Cuba","United States","United States"
"2012 London","Aries Merritt United States","Jason Richardson United States","Hansle Parchment Jamaica","110 metres hurdles","men","2012","London","Running","Aries Merritt ","Jason Richardson ","Hansle Parchment ","United States","United States","Jamaica"
"2016 Rio","Omar McLeod Jamaica","Orlando Ortega Spain","Dimitri Bascou France","110 metres hurdles","men","2016","Rio","Running","Omar McLeod ","Orlando Ortega ","Dimitri Bascou ","Jamaica","Spain","France"
"1900 Paris","Walter Tewksbury United States","Henri Tauzin France","George Orton Canada","400 metres hurdles","men","1900","Paris","Running","Walter Tewksbury ","Henri Tauzin ","George Orton ","United States","France","Canada"
"1904 St. Louis","Harry Hillman United States","Frank Waller United States","George Poage United States","400 metres hurdles","men","1904","St. Louis","Running","Harry Hillman ","Frank Waller ","George Poage ","United States","United States","United States"
"1908 London","Charles Bacon United States","Harry Hillman United States","Jimmy Tremeer Great Britain","400 metres hurdles","men","1908","London","Running","Charles Bacon ","Harry Hillman ","Jimmy Tremeer ","United States","United States","Great Britain"
"1920 Antwerp","Frank Loomis United States","John Norton United States","August Desch United States","400 metres hurdles","men","1920","Antwerp","Running","Frank Loomis ","John Norton ","August Desch ","United States","United States","United States"
"1924 Paris","Morgan Taylor United States","Erik Wilén Finland","Ivan Riley United States","400 metres hurdles","men","1924","Paris","Running","Morgan Taylor ","Erik Wilén ","Ivan Riley ","United States","Finland","United States"
"1928 Amsterdam","David Burghley Great Britain","Frank Cuhel United States","Morgan Taylor United States","400 metres hurdles","men","1928","Amsterdam","Running","David Burghley ","Frank Cuhel ","Morgan Taylor ","Great Britain","United States","United States"
"1932 Los Angeles","Bob Tisdall Ireland","Glenn Hardin United States","Morgan Taylor United States","400 metres hurdles","men","1932","Los Angeles","Running","Bob Tisdall ","Glenn Hardin ","Morgan Taylor ","Ireland","United States","United States"
"1936 Berlin","Glenn Hardin United States","John Loaring Canada","Miguel White Philippines","400 metres hurdles","men","1936","Berlin","Running","Glenn Hardin ","John Loaring ","Miguel White ","United States","Canada","Philippines"
"1948 London","Roy Cochran United States","Duncan White Ceylon","Rune Larsson Sweden","400 metres hurdles","men","1948","London","Running","Roy Cochran ","Duncan White Ceylon","Rune Larsson ","United States",NA,"Sweden"
"1952 Helsinki","Charles Moore United States","Yuriy Lituyev Soviet Union","John Holland New Zealand","400 metres hurdles","men","1952","Helsinki","Running","Charles Moore ","Yuriy Lituyev ","John Holland ","United States","Soviet Union","New Zealand"
"1956 Melbourne","Glenn Davis United States","Eddie Southern United States","Josh Culbreath United States","400 metres hurdles","men","1956","Melbourne","Running","Glenn Davis ","Eddie Southern ","Josh Culbreath ","United States","United States","United States"
"1960 Rome","Glenn Davis United States","Clifton Cushman United States","Dick Howard United States","400 metres hurdles","men","1960","Rome","Running","Glenn Davis ","Clifton Cushman ","Dick Howard ","United States","United States","United States"
"1964 Tokyo","Rex Cawley United States","John Cooper Great Britain","Salvatore Morale Italy","400 metres hurdles","men","1964","Tokyo","Running","Rex Cawley ","John Cooper ","Salvatore Morale ","United States","Great Britain","Italy"
"1968 Mexico City","David Hemery Great Britain","Gerhard Hennige West Germany","John Sherwood Great Britain","400 metres hurdles","men","1968","Mexico City","Running","David Hemery ","Gerhard Hennige ","John Sherwood ","Great Britain","West Germany","Great Britain"
"1972 Munich","John Akii-Bua Uganda","Ralph Mann United States","David Hemery Great Britain","400 metres hurdles","men","1972","Munich","Running","John Akii-Bua ","Ralph Mann ","David Hemery ","Uganda","United States","Great Britain"
"1976 Montreal","Edwin Moses United States","Michael Shine United States","Yevgeniy Gavrilenko Soviet Union","400 metres hurdles","men","1976","Montreal","Running","Edwin Moses ","Michael Shine ","Yevgeniy Gavrilenko ","United States","United States","Soviet Union"
"1980 Moscow","Volker Beck East Germany","Vasyl Arkhypenko Soviet Union","Gary Oakes Great Britain","400 metres hurdles","men","1980","Moscow","Running","Volker Beck ","Vasyl Arkhypenko ","Gary Oakes ","East Germany","Soviet Union","Great Britain"
"1984 Los Angeles","Edwin Moses United States","Danny Harris United States","Harald Schmid West Germany","400 metres hurdles","men","1984","Los Angeles","Running","Edwin Moses ","Danny Harris ","Harald Schmid ","United States","United States","West Germany"
"1988 Seoul","André Phillips United States","Amadou Dia Ba Senegal","Edwin Moses United States","400 metres hurdles","men","1988","Seoul","Running","André Phillips ","Amadou Dia Ba ","Edwin Moses ","United States","Senegal","United States"
"1992 Barcelona","Kevin Young United States","Winthrop Graham Jamaica","Kriss Akabusi Great Britain","400 metres hurdles","men","1992","Barcelona","Running","Kevin Young ","Winthrop Graham ","Kriss Akabusi ","United States","Jamaica","Great Britain"
"1996 Atlanta","Derrick Adkins United States","Samuel Matete Zambia","Calvin Davis United States","400 metres hurdles","men","1996","Atlanta","Running","Derrick Adkins ","Samuel Matete ","Calvin Davis ","United States","Zambia","United States"
"2000 Sydney","Angelo Taylor United States","Hadi Al-Somaily Saudi Arabia","Llewellyn Herbert South Africa","400 metres hurdles","men","2000","Sydney","Running","Angelo Taylor ","Hadi Al-Somaily ","Llewellyn Herbert ","United States","Saudi Arabia","South Africa"
"2004 Athens","Félix Sánchez Dominican Republic","Danny McFarlane Jamaica","Naman Keïta France","400 metres hurdles","men","2004","Athens","Running","Félix Sánchez ","Danny McFarlane ","Naman Keïta ","Dominican Republic","Jamaica","France"
"2008 Beijing","Angelo Taylor United States","Kerron Clement United States","Bershawn Jackson United States","400 metres hurdles","men","2008","Beijing","Running","Angelo Taylor ","Kerron Clement ","Bershawn Jackson ","United States","United States","United States"
"2012 London","Félix Sánchez Dominican Republic","Michael Tinsley United States","Javier Culson Puerto Rico","400 metres hurdles","men","2012","London","Running","Félix Sánchez ","Michael Tinsley ","Javier Culson Puerto Rico","Dominican Republic","United States",NA
"2016 Rio de Janeiro","Kerron Clement United States","Boniface Mucheru Tumuti Kenya","Yasmani Copello Turkey","400 metres hurdles","men","2016","Rio de Janeiro","Running","Kerron Clement ","Boniface Mucheru Tumuti ","Yasmani Copello ","United States","Kenya","Turkey"
"1920 Antwerp","Percy Hodge Great Britain","Patrick Flynn United States","Ernesto Ambrosini Italy","3000 metres steeplechase","men","1920","Antwerp","Running","Percy Hodge ","Patrick Flynn ","Ernesto Ambrosini ","Great Britain","United States","Italy"
"1924 Paris","Ville Ritola Finland","Elias Katz Finland","Paul Bontemps France","3000 metres steeplechase","men","1924","Paris","Running","Ville Ritola ","Elias Katz ","Paul Bontemps ","Finland","Finland","France"
"1928 Amsterdam","Toivo Loukola Finland","Paavo Nurmi Finland","Ove Andersen Finland","3000 metres steeplechase","men","1928","Amsterdam","Running","Toivo Loukola ","Paavo Nurmi ","Ove Andersen ","Finland","Finland","Finland"
"1932 Los Angeles","Volmari Iso-Hollo Finland","Thomas Evenson Great Britain","Joe McCluskey United States","3000 metres steeplechase","men","1932","Los Angeles","Running","Volmari Iso-Hollo ","Thomas Evenson ","Joe McCluskey ","Finland","Great Britain","United States"
"1936 Berlin","Volmari Iso-Hollo Finland","Kalle Tuominen Finland","Alfred Dompert Germany","3000 metres steeplechase","men","1936","Berlin","Running","Volmari Iso-Hollo ","Kalle Tuominen ","Alfred Dompert ","Finland","Finland","Germany"
"1948 London","Tore Sjöstrand Sweden","Erik Elmsäter Sweden","Göte Hagström Sweden","3000 metres steeplechase","men","1948","London","Running","Tore Sjöstrand ","Erik Elmsäter ","Göte Hagström ","Sweden","Sweden","Sweden"
"1952 Helsinki","Horace Ashenfelter United States","Vladimir Kazantsev Soviet Union","John Disley Great Britain","3000 metres steeplechase","men","1952","Helsinki","Running","Horace Ashenfelter ","Vladimir Kazantsev ","John Disley ","United States","Soviet Union","Great Britain"
"1956 Melbourne","Chris Brasher Great Britain","Sándor Rozsnyói Hungary","Ernst Larsen Norway","3000 metres steeplechase","men","1956","Melbourne","Running","Chris Brasher ","Sándor Rozsnyói ","Ernst Larsen ","Great Britain","Hungary","Norway"
"1960 Rome","Zdzislaw Krzyszkowiak Poland","Nikolay Sokolov Soviet Union","Semyon Rzhishchin Soviet Union","3000 metres steeplechase","men","1960","Rome","Running","Zdzislaw Krzyszkowiak ","Nikolay Sokolov ","Semyon Rzhishchin ","Poland","Soviet Union","Soviet Union"
"1964 Tokyo","Gaston Roelants Belgium","Maurice Herriott Great Britain","Ivan Belyayev Soviet Union","3000 metres steeplechase","men","1964","Tokyo","Running","Gaston Roelants ","Maurice Herriott ","Ivan Belyayev ","Belgium","Great Britain","Soviet Union"
"1968 Mexico City","Amos Biwott Kenya","Benjamin Kogo Kenya","George Young United States","3000 metres steeplechase","men","1968","Mexico City","Running","Amos Biwott ","Benjamin Kogo ","George Young ","Kenya","Kenya","United States"
"1972 Munich","Kipchoge Keino Kenya","Ben Jipcho Kenya","Tapio Kantanen Finland","3000 metres steeplechase","men","1972","Munich","Running","Kipchoge Keino ","Ben Jipcho ","Tapio Kantanen ","Kenya","Kenya","Finland"
"1976 Montreal","Anders Gärderud Sweden","Bronislaw Malinowski Poland","Frank Baumgartl East Germany","3000 metres steeplechase","men","1976","Montreal","Running","Anders Gärderud ","Bronislaw nowski ","Frank Baumgartl ","Sweden","Mali","East Germany"
"1980 Moscow","Bronislaw Malinowski Poland","Filbert Bayi Tanzania","Eshetu Tura Ethiopia","3000 metres steeplechase","men","1980","Moscow","Running","Bronislaw nowski ","Filbert Bayi ","Eshetu Tura ","Mali","Tanzania","Ethiopia"
"1984 Los Angeles","Julius Korir Kenya","Joseph Mahmoud France","Brian Diemer United States","3000 metres steeplechase","men","1984","Los Angeles","Running","Julius Korir ","Joseph Mahmoud ","Brian Diemer ","Kenya","France","United States"
"1988 Seoul","Julius Kariuki Kenya","Peter Koech Kenya","Mark Rowland Great Britain","3000 metres steeplechase","men","1988","Seoul","Running","Julius Kariuki ","Peter Koech ","Mark Rowland ","Kenya","Kenya","Great Britain"
"1992 Barcelona","Matthew Birir Kenya","Patrick Sang Kenya","William Mutwol Kenya","3000 metres steeplechase","men","1992","Barcelona","Running","Matthew Birir ","Patrick Sang ","William Mutwol ","Kenya","Kenya","Kenya"
"1996 Atlanta","Joseph Keter Kenya","Moses Kiptanui Kenya","Alessandro Lambruschini Italy","3000 metres steeplechase","men","1996","Atlanta","Running","Joseph Keter ","Moses Kiptanui ","Alessandro Lambruschini ","Kenya","Kenya","Italy"
"2000 Sydney","Reuben Kosgei Kenya","Wilson Boit Kipketer Kenya","Ali Ezzine Morocco","3000 metres steeplechase","men","2000","Sydney","Running","Reuben Kosgei ","Wilson Boit Kipketer ","Ali Ezzine ","Kenya","Kenya","Morocco"
"2004 Athens","Ezekiel Kemboi Kenya","Brimin Kipruto Kenya","Paul Kipsiele Koech Kenya","3000 metres steeplechase","men","2004","Athens","Running","Ezekiel Kemboi ","Brimin Kipruto ","Paul Kipsiele Koech ","Kenya","Kenya","Kenya"
"2008 Beijing","Brimin Kipruto Kenya","Mahiedine Mekhissi-Benabbad France","Richard Kipkemboi Mateelong Kenya","3000 metres steeplechase","men","2008","Beijing","Running","Brimin Kipruto ","Mahiedine Mekhissi-Benabbad ","Richard Kipkemboi Mateelong ","Kenya","France","Kenya"
"2012 London","Ezekiel Kemboi Kenya","Mahiedine Mekhissi-Benabbad France","Abel Mutai Kenya","3000 metres steeplechase","men","2012","London","Running","Ezekiel Kemboi ","Mahiedine Mekhissi-Benabbad ","Abel Mutai ","Kenya","France","Kenya"
"2016 Rio de Janeiro","Conseslus Kipruto Kenya","Evan Jager United States","Mahiedine Mekhissi-Benabbad France","3000 metres steeplechase","men","2016","Rio de Janeiro","Running","Conseslus Kipruto ","Evan Jager ","Mahiedine Mekhissi-Benabbad ","Kenya","United States","France"
"1912 Stockholm","Great Britain (GBR)David JacobsHenry MacintoshVictor d'ArcyWillie Applegarth","Sweden (SWE)Ivan MöllerCharles LutherTure PersonKnut Lindberg","none awarded","4 × 100 metres relay","men","1912","Stockholm","Running"," (GBR)David JacobsHenry MacintoshVictor d'ArcyWillie Applegarth"," (SWE)Ivan MöllerCharles LutherTure PersonKnut Lindberg","none awarded","Great Britain","Sweden",NA
"1920 Antwerp","United States (USA)Charley PaddockJackson ScholzLoren MurchisonMorris Kirksey","France (FRA)René LorainRené TirardRené MourlonÉmile Ali-Khan","Sweden (SWE)Agne HolmströmWilliam PeterssonSven MalmNils Sandström","4 × 100 metres relay","men","1920","Antwerp","Running"," (USA)Charley PaddockJackson ScholzLoren MurchisonMorris Kirksey"," (FRA)René LorainRené TirardRené MourlonÉmile Ali-Khan"," (SWE)Agne HolmströmWilliam PeterssonSven MalmNils Sandström","United States","France","Sweden"
"1924 Paris","United States (USA)Loren MurchisonLouis ClarkeFrank HusseyAl LeConey","Great Britain (GBR)Harold AbrahamsWalter RangeleyWilfred NicholLancelot Royle","Netherlands (NED)Jan de VriesJacob BootHarry BroosMarinus van den Berge","4 × 100 metres relay","men","1924","Paris","Running"," (USA)Loren MurchisonLouis ClarkeFrank HusseyAl LeConey"," (GBR)Harold AbrahamsWalter RangeleyWilfred NicholLancelot Royle"," (NED)Jan de VriesJacob BootHarry BroosMarinus van den Berge","United States","Great Britain","Netherlands"
"1928 Amsterdam","United States (USA)Frank WykoffJames QuinnCharley BorahHenry Russell","Germany (GER)Georg LammersRichard CortsHubert HoubenHelmut Körnig","Great Britain (GBR)Cyril GillEdward SmouhaWalter RangeleyJack London","4 × 100 metres relay","men","1928","Amsterdam","Running"," (USA)Frank WykoffJames QuinnCharley BorahHenry Russell"," (GER)Georg LammersRichard CortsHubert HoubenHelmut Körnig"," (GBR)Cyril GillEdward SmouhaWalter RangeleyJack London","United States","Germany","Great Britain"
"1932 Los Angeles","United States (USA)Bob KieselEmmett ToppinoHector DyerFrank Wykoff","Germany (GER)Helmut KörnigFriedrich HendrixErich BorchmeyerArthur Jonath","Italy (ITA)Giuseppe CastelliRuggero MaregattiGabriele SalviatiEdgardo Toetti","4 × 100 metres relay","men","1932","Los Angeles","Running"," (USA)Bob KieselEmmett ToppinoHector DyerFrank Wykoff"," (GER)Helmut KörnigFriedrich HendrixErich BorchmeyerArthur Jonath"," (ITA)Giuseppe CastelliRuggero MaregattiGabriele SalviatiEdgardo Toetti","United States","Germany","Italy"
"1936 Berlin","United States (USA)Jesse OwensRalph MetcalfeFoy DraperFrank Wykoff","Italy (ITA)Orazio MarianiGianni CaldanaElio RagniTullio Gonnelli","Germany (GER)Wilhelm LeichumErich BorchmeyerErwin GillmeisterGerd Hornberger","4 × 100 metres relay","men","1936","Berlin","Running"," (USA)Jesse OwensRalph MetcalfeFoy DraperFrank Wykoff"," (ITA)Orazio MarianiGianni CaldanaElio RagniTullio Gonnelli"," (GER)Wilhelm LeichumErich BorchmeyerErwin GillmeisterGerd Hornberger","United States","Italy","Germany"
"1948 London","United States (USA)Barney EwellLorenzo WrightHarrison DillardMel Patton","Great Britain (GBR)Jack ArcherJohn GregoryAlastair McCorquodaleKenneth Jones","Italy (ITA)Michele TitoEnrico PerucconiAntonio SiddiCarlo Monti","4 × 100 metres relay","men","1948","London","Running"," (USA)Barney EwellLorenzo WrightHarrison DillardMel Patton"," (GBR)Jack ArcherJohn GregoryAlastair McCorquodaleKenneth Jones"," (ITA)Michele TitoEnrico cconiAntonio SiddiCarlo Monti","United States","Great Britain","Italy"
"1952 Helsinki","United States (USA)Dean SmithHarrison DillardLindy RemiginoAndy Stanfield","Soviet Union (URS)Boris TokarevLevan KalyayevLevan SanadzeVladimir Sukharev","Hungary (HUN)László ZarándiGéza VarasdiGyörgy CsányiBéla Goldoványi","4 × 100 metres relay","men","1952","Helsinki","Running"," (USA)Dean SmithHarrison DillardLindy RemiginoAndy Stanfield"," (URS)Boris TokarevLevan KalyayevLevan SanadzeVladimir Sukharev"," (HUN)László ZarándiGéza VarasdiGyörgy CsányiBéla Goldoványi","United States","Soviet Union","Hungary"
"1956 Melbourne","United States (USA)Ira MurchisonLeamon KingThane BakerBobby Morrow","Soviet Union (URS)Leonid BartenevBoris TokarevYuriy KonovalovVladimir Sukharev","United Team of Germany (EUA)Lothar KnörzerLeonhard PohlHeinz FüttererManfred Germar","4 × 100 metres relay","men","1956","Melbourne","Running"," (USA)Ira MurchisonLeamon KingThane BakerBobby Morrow"," (URS)Leonid BartenevBoris TokarevYuriy KonovalovVladimir Sukharev"," (EUA)Lothar KnörzerLeonhard PohlHeinz FüttererManfred Germar","United States","Soviet Union","United Team of Germany"
"1960 Rome","United Team of Germany (EUA)Bernd CullmannArmin HaryWalter MahlendorfMartin Lauer","Soviet Union (URS)Gusman KosanovLeonid BartenevYuriy KonovalovEdvin Ozolin","Great Britain (GBR)Peter RadfordDavid JonesDavid SegalNick Whitehead","4 × 100 metres relay","men","1960","Rome","Running"," (EUA)Bernd CullmannArmin HaryWalter MahlendorfMartin Lauer"," (URS)Gusman KosanovLeonid BartenevYuriy KonovalovEdvin Ozolin"," (GBR)Peter RadfordDavid JonesDavid SegalNick Whitehead","United Team of Germany","Soviet Union","Great Britain"
"1964 Tokyo","United States (USA)Paul DraytonGerry AshworthRichard StebbinsBob Hayes","Poland (POL)Andrzej ZielinskiWieslaw ManiakMarian FoikMarian Dudziak","France (FRA)Paul GenevayBernard LaidebeurClaude PiquemalJocelyn Delecour","4 × 100 metres relay","men","1964","Tokyo","Running"," (USA)Paul DraytonGerry AshworthRichard StebbinsBob Hayes"," (POL)Andrzej ZielinskiWieslaw ManiakMarian FoikMarian Dudziak"," (FRA)Paul GenevayBernard LaidebeurClaude PiquemalJocelyn Delecour","United States","Poland","France"
"1968 Mexico City","United States (USA)Charles GreeneMel PenderRonnie Ray SmithJim Hines","Cuba (CUB)Hermes RamírezJuan MoralesPablo MontesEnrique Figuerola","France (FRA)Gérard FenouilJocelyn DelecourClaude PiquemalRoger Bambuck","4 × 100 metres relay","men","1968","Mexico City","Running"," (USA)Charles GreeneMel PenderRonnie Ray SmithJim Hines"," (CUB)Hermes RamírezJuan MoralesPablo MontesEnrique Figuerola"," (FRA)Gérard FenouilJocelyn DelecourClaude PiquemalRoger Bambuck","United States","Cuba","France"
"1972 Munich","United States (USA)Larry BlackRobert TaylorGerald TinkerEddie Hart","Soviet Union (URS)Aleksandr KornelyukVladimir LovetskiyJuris SilovsValeriy Borzov","West Germany (FRG)Jobst HirschtKarlheinz KlotzGerhard WuchererKlaus Ehl","4 × 100 metres relay","men","1972","Munich","Running"," (USA)Larry BlackRobert TaylorGerald TinkerEddie Hart"," (URS)Aleksandr KornelyukVladimir LovetskiyJuris SilovsValeriy Borzov"," (FRG)Jobst HirschtKarlheinz KlotzGerhard WuchererKlaus Ehl","United States","Soviet Union","West Germany"
