"year","level","path","distance","value","event","event_type","games","gold","silver","bronze","gender","location","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
1976,18,362,20,0.0125,"Cross country (individual)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,1,20,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,362,21,0.0125,"5000 metres","Running","1980 Moscow","Miruts Yifter Ethiopia","Suleiman Nyambui Tanzania","Kaarlo Maaninka Finland","men","Moscow","Miruts Yifter ","Suleiman Nyambui ","Kaarlo Maaninka ","Ethiopia","Tanzania","Finland"
1984,20,1,21,0.0125,"4000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,362,22,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,1,22,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,362,23,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,1,23,0.0125,"3000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,362,24,0.0125,"3000 metres steeplechase","Running","1992 Barcelona","Matthew Birir Kenya","Patrick Sang Kenya","William Mutwol Kenya","men","Barcelona","Matthew Birir ","Patrick Sang ","William Mutwol ","Kenya","Kenya","Kenya"
1996,23,1,24,0.0125,"3000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,362,25,0.0125,"2590 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,1,25,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,362,26,0.0125,"1600 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,1,26,0.0125,"1500 metres","Running","2004 Athens","Kelly Holmes Great Britain","Tatyana Tomashova Russia","Maria Cioncan Romania","women","Athens","Kelly Holmes ","Tatyana Tomashova ","Maria Cioncan ","Great Britain","Russia","Romania"
2004,25,1,26,0.0125,"1500 metres","Running","2004 Athens","Hicham El Guerrouj Morocco","Bernard Lagat Kenya","Rui Silva Portugal","men","Athens","Hicham El Guerrouj ","Bernard Lagat ","Rui Silva ","Morocco","Kenya","Portugal"
2004,25,362,27,0.0125,"800 metres","Running","2004 Athens","Kelly Holmes Great Britain","Hasna Benhassi Morocco","Jolanda Ceplak Slovenia","women","Athens","Kelly Holmes ","Hasna Benhassi ","Jolanda Ceplak ","Great Britain","Morocco","Slovenia"
2004,25,362,27,0.0125,"800 metres","Running","2004 Athens","Yuriy Borzakovskiy Russia","Mbulaeni Mulaudzi South Africa","Wilson Kipketer Denmark","men","Athens","Yuriy Borzakovskiy ","Mbulaeni Mulaudzi ","Wilson Kipketer ","Russia","South Africa","Denmark"
2008,26,1,27,0.0125,"400 metres hurdles","Running","2008 Beijing","Melaine Walker Jamaica","Sheena Tosta United States","Tasha Danvers Great Britain","women","Beijing","Melaine Walker ","Sheena Tosta ","Tasha Danvers ","Jamaica","United States","Great Britain"
2008,26,1,27,0.0125,"400 metres hurdles","Running","2008 Beijing","Angelo Taylor United States","Kerron Clement United States","Bershawn Jackson United States","men","Beijing","Angelo Taylor ","Kerron Clement ","Bershawn Jackson ","United States","United States","United States"
2008,26,362,28,0.0125,"400 metres","Running","2008 Beijing","Christine Ohuruogu Great Britain","Shericka Williams Jamaica","Sanya Richards United States","women","Beijing","Christine Ohuruogu ","Shericka Williams ","Sanya Richards ","Great Britain","Jamaica","United States"
2008,26,362,28,0.0125,"400 metres","Running","2008 Beijing","LaShawn Merritt United States","Jeremy Wariner United States","David Neville United States","men","Beijing","LaShawn Merritt ","Jeremy Wariner ","David Neville ","United States","United States","United States"
2012,27,1,28,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,27,362,29,0.0125,"200 metres","Running","2012 London","Allyson Felix United States","Shelly-Ann Fraser-Pryce Jamaica","Carmelita Jeter United States","women","London","Allyson Felix ","Shelly-Ann Fraser-Pryce ","Carmelita Jeter ","United States","Jamaica","United States"
2012,27,362,29,0.0125,"200 metres","Running","2012 London","Usain Bolt Jamaica","Yohan Blake Jamaica","Warren Weir Jamaica","men","London","Usain Bolt ","Yohan Blake ","Warren Weir ","Jamaica","Jamaica","Jamaica"
2016,28,1,29,0.0125,"110 metres hurdles","Running","2016 Rio","Omar McLeod Jamaica","Orlando Ortega Spain","Dimitri Bascou France","men","Rio","Omar McLeod ","Orlando Ortega ","Dimitri Bascou ","Jamaica","Spain","France"
2016,28,362,30,0.0125,"100 metres hurdles","Running","2016 Rio de Janeiro","Brianna Rollins United States","Nia Ali United States","Kristi Castlin United States","women","Rio de Janeiro","Brianna Rollins ","Nia Ali ","Kristi Castlin ","United States","United States","United States"
1896,1,1,2,0.0125,"100 metres","Running","1896 Athens","Thomas Burke United States","Fritz Hofmann Germany","Francis Lane United States & Alajos Szokolyi Hungary","men","Athens","Thomas Burke ","Fritz Hofmann ","Francis Lane  & Alajos Szokolyi ","United States","Germany","United States"
1896,1,362,3,0.0125,"80 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,1,3,0.0125,"60 metres","Running","1900 Paris","Alvin Kraenzlein United States","Walter Tewksbury United States","Stan Rowley Australia","men","Paris","Alvin Kraenzlein ","Walter Tewksbury ","Stan Rowley ","United States","United States","Australia"
1900,2,362,4,0.0125,"50 kilometres race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,1,4,0.0125,"20 kilometres race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,362,5,0.0125,"10,000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,1,5,0.0125,"10 miles walk","Walking","1908 London","George Larner Great Britain","Ernest Webb Great Britain","Edward Spencer Great Britain","men","London","George Larner ","Ernest Webb ","Edward Spencer ","Great Britain","Great Britain","Great Britain"
1908,4,362,6,0.0125,"10 kilometres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,1,6,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,362,7,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,6,1,7,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,6,362,8,0.0125,"4 × 400 metres relay","Running","1920 Antwerp","Great Britain (GBR)Cecil GriffithsRobert LindsayJohn Ainsworth-DavisGuy Butler","South Africa (RSA)Henry DafelClarence OldfieldJack OosterlaakBevil Rudd","France (FRA)Géo AndréGaston FéryMaurice DelvartAndré Devaux","men","Antwerp"," (GBR)Cecil GriffithsRobert LindsayJohn Ainsworth-DavisGuy Butler"," (RSA)Henry DafelClarence OldfieldJack OosterlaakBevil Rudd"," (FRA)Géo AndréGaston FéryMaurice DelvartAndré Devaux","Great Britain","South Africa","France"
1924,7,1,8,0.0125,"4 × 100 metres relay","Running","1924 Paris","United States (USA)Loren MurchisonLouis ClarkeFrank HusseyAl LeConey","Great Britain (GBR)Harold AbrahamsWalter RangeleyWilfred NicholLancelot Royle","Netherlands (NED)Jan de VriesJacob BootHarry BroosMarinus van den Berge","men","Paris"," (USA)Loren MurchisonLouis ClarkeFrank HusseyAl LeConey"," (GBR)Harold AbrahamsWalter RangeleyWilfred NicholLancelot Royle"," (NED)Jan de VriesJacob BootHarry BroosMarinus van den Berge","United States","Great Britain","Netherlands"
1924,7,362,9,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,8,1,9,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,8,362,10,0.0125,"Triple jump","Jumping","1928 Amsterdam","Mikio Oda Japan","Levi Casey United States","Vilho Tuulos Finland","men","Amsterdam","Mikio Oda ","Levi Casey ","Vilho Tuulos ","Japan","United States","Finland"
1932,9,1,10,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,362,11,0.0125,"Standing triple jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,1,11,0.0125,"Standing long jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,362,12,0.0125,"Standing high jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,1,12,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,362,13,0.0125,"Shot put","Throwing","1948 London","Micheline Ostermeyer France","Amelia Piccinini Italy","Ina Schäffer Austria","women","London","Micheline Ostermeyer ","Amelia Piccinini ","Ina Schäffer ","France","Italy","Austria"
1948,11,362,13,0.0125,"Shot put","Throwing","1948 London","Wilbur Thompson United States","Jim Delaney United States","Jim Fuchs United States","men","London","Wilbur Thompson ","Jim Delaney ","Jim Fuchs ","United States","United States","United States"
1952,12,1,13,0.0125,"Pole vault","Jumping","1952 Helsinki","Bob Richards United States","Don Laz United States","Ragnar Lundberg Sweden","men","Helsinki","Bob Richards ","Don Laz ","Ragnar Lundberg ","United States","United States","Sweden"
1952,12,362,14,0.0125,"Pentathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,1,14,0.0125,"Marathon","Running","1956 Melbourne","Alain Mimoun France","Franjo Mihalic Yugoslavia","Veikko Karvonen Finland","men","Melbourne","Alain Mimoun ","Franjo Mihalic Yugoslavia","Veikko Karvonen ","France",NA,"Finland"
1956,13,362,15,0.0125,"Long jump","Jumping","1956 Melbourne","Elzbieta Krzesinska Poland","Willye White United States","Nadezhda Khnykina-Dvalishvili Soviet Union","women","Melbourne","Elzbieta Krzesinska ","Willye White ","Nadezhda Khnykina-Dvalishvili ","Poland","United States","Soviet Union"
1956,13,362,15,0.0125,"Long jump","Jumping","1956 Melbourne","Gregory Bell United States","John Bennett United States","Jorma Valkama Finland","men","Melbourne","Gregory Bell ","John Bennett ","Jorma Valkama ","United States","United States","Finland"
1960,14,1,15,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,362,16,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,1,16,0.0125,"Javelin throw","Throwing","1964 Tokyo","Mihaela Pene<U+0219> Romania","Márta Rudas Hungary","Yelena Gorchakova Soviet Union","women","Tokyo","Mihaela Pene<U+0219> ","Márta Rudas ","Yelena Gorchakova ","Romania","Hungary","Soviet Union"
1964,15,1,16,0.0125,"Javelin throw","Throwing","1964 Tokyo","Pauli Nevala Finland","Gergely Kulcsár Hungary","Janis Lusis Soviet Union","men","Tokyo","Pauli Nevala ","Gergely Kulcsár ","Janis Lusis ","Finland","Hungary","Soviet Union"
1964,15,362,17,0.0125,"High jump","Jumping","1964 Tokyo","Iolanda Bala<U+0219> Romania","Michele Brown Australia","Taisia Chenchik Soviet Union","women","Tokyo","Iolanda Bala<U+0219> ","Michele Brown ","Taisia Chenchik ","Romania","Australia","Soviet Union"
1964,15,362,17,0.0125,"High jump","Jumping","1964 Tokyo","Valeriy Brumel Soviet Union","John Thomas United States","John Rambo United States","men","Tokyo","Valeriy Brumel ","John Thomas ","John Rambo ","Soviet Union","United States","United States"
1968,16,1,17,0.0125,"Heptathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,362,18,0.0125,"Hammer throw","Throwing","1968 Mexico City","Gyula Zsivótzky Hungary","Romuald Klim Soviet Union","Lázár Lovász Hungary","men","Mexico City","Gyula Zsivótzky ","Romuald Klim ","Lázár Lovász ","Hungary","Soviet Union","Hungary"
1972,17,1,18,0.0125,"Discus throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,362,19,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,1,19,0.0125,"Discus throw","Throwing","1976 Montreal","Evelin Schlaak East Germany","Mariya Vergova Bulgaria","Gabriele Hinzmann East Germany","women","Montreal","Evelin Schlaak ","Mariya Vergova ","Gabriele Hinzmann ","East Germany","Bulgaria","East Germany"
1976,18,1,19,0.0125,"Discus throw","Throwing","1976 Montreal","Mac Wilkins United States","Wolfgang Schmidt East Germany","John Powell United States","men","Montreal","Mac Wilkins ","Wolfgang Schmidt ","John Powell ","United States","East Germany","United States"
1976,18,362,20,0.0125,"Decathlon","Multisport","1976 Montreal","Bruce Jenner United States[a]","Guido Kratschmer West Germany","Mykola Avilov Soviet Union","men","Montreal","Bruce Jenner [a]","Guido Kratschmer ","Mykola Avilov ","United States","West Germany","Soviet Union"
1980,19,1,20,0.0125,"Cross country (team)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,362,21,0.0125,"Cross country (individual)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,1,21,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,362,22,0.0125,"5000 metres","Running","1984 Los Angeles","Saïd Aouita Morocco","Markus Ryffel Switzerland","António Leitão Portugal","men","Los Angeles","Saïd Aouita ","Markus Ryffel ","António Leitão ","Morocco","Switzerland","Portugal"
1988,21,1,22,0.0125,"4000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,362,23,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,1,23,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,362,24,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,1,24,0.0125,"3000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,362,25,0.0125,"3000 metres steeplechase","Running","1996 Atlanta","Joseph Keter Kenya","Moses Kiptanui Kenya","Alessandro Lambruschini Italy","men","Atlanta","Joseph Keter ","Moses Kiptanui ","Alessandro Lambruschini ","Kenya","Kenya","Italy"
2000,24,1,25,0.0125,"3000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,362,26,0.0125,"2590 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,1,26,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,362,27,0.0125,"1600 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,1,27,0.0125,"1500 metres","Running","2008 Beijing","Nancy Langat Kenya","Iryna Lishchynska Ukraine","Nataliya Tobias Ukraine","women","Beijing","Nancy Langat ","Iryna Lishchynska ","Nataliya Tobias ","Kenya","Ukraine","Ukraine"
2008,26,1,27,0.0125,"1500 metres","Running","2008 Beijing","Asbel Kiprop Kenya","Nick Willis New Zealand","Mehdi Baala France","men","Beijing","Asbel Kiprop ","Nick Willis ","Mehdi Baala ","Kenya","New Zealand","France"
2008,26,362,28,0.0125,"800 metres","Running","2008 Beijing","Pamela Jelimo Kenya","Janeth Jepkosgei Kenya","Hasna Benhassi Morocco","women","Beijing","Pamela Jelimo ","Janeth Jepkosgei ","Hasna Benhassi ","Kenya","Kenya","Morocco"
2008,26,362,28,0.0125,"800 metres","Running","2008 Beijing","Wilfred Bungei Kenya","Ismail Ahmed Ismail Sudan","Alfred Kirwa Yego Kenya","men","Beijing","Wilfred Bungei ","Ismail Ahmed Ismail ","Alfred Kirwa Yego ","Kenya","Sudan","Kenya"
2012,27,1,28,0.0125,"400 metres hurdles","Running","2012 London","Natalya Antyukh Russia","Lashinda Demus United States","Zuzana Hejnová Czech Republic","women","London","Natalya Antyukh ","Lashinda Demus ","Zuzana Hejnová ","Russia","United States","Czech Republic"
2012,27,1,28,0.0125,"400 metres hurdles","Running","2012 London","Félix Sánchez Dominican Republic","Michael Tinsley United States","Javier Culson Puerto Rico","men","London","Félix Sánchez ","Michael Tinsley ","Javier Culson Puerto Rico","Dominican Republic","United States",NA
2012,27,362,29,0.0125,"400 metres","Running","2012 London","Sanya Richards-Ross United States","Christine Ohuruogu Great Britain","DeeDee Trotter United States","women","London","Sanya Richards-Ross ","Christine Ohuruogu ","DeeDee Trotter ","United States","Great Britain","United States"
2012,27,362,29,0.0125,"400 metres","Running","2012 London","Kirani James Grenada","Luguelín Santos Dominican Republic","Lalonde Gordon Trinidad and Tobago","men","London","Kirani James Grenada","Luguelín Santos ","Lalonde Gordon ",NA,"Dominican Republic","Trinidad and Tobago"
2016,28,1,29,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,362,30,0.0125,"200 metres","Running","2016 Rio de Janeiro","Elaine Thompson Jamaica","Dafne Schippers Netherlands","Tori Bowie United States","women","Rio de Janeiro","Elaine Thompson ","Dafne Schippers ","Tori Bowie ","Jamaica","Netherlands","United States"
2016,28,362,30,0.0125,"200 metres","Running","2016 Rio","Usain Bolt Jamaica","Andre De Grasse Canada","Christophe Lemaitre France","men","Rio","Usain Bolt ","Andre De Grasse ","Christophe Lemaitre ","Jamaica","Canada","France"
1896,1,1,2,0.0125,"110 metres hurdles","Running","1896 Athens","Thomas Curtis United States","Grantley Goulding Great Britain","none awarded","men","Athens","Thomas Curtis ","Grantley Goulding ","none awarded","United States","Great Britain",NA
1896,1,362,3,0.0125,"100 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,1,3,0.0125,"100 metres","Running","1900 Paris","Frank Jarvis United States","Walter Tewksbury United States","Stan Rowley Australia","men","Paris","Frank Jarvis ","Walter Tewksbury ","Stan Rowley ","United States","United States","Australia"
1900,2,362,4,0.0125,"80 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,1,4,0.0125,"60 metres","Running","1904 St. Louis","Archie Hahn United States","William Hogenson United States","Fay Moulton United States","men","St. Louis","Archie Hahn ","William Hogenson ","Fay Moulton ","United States","United States","United States"
1904,3,362,5,0.0125,"50 kilometres race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,1,5,0.0125,"20 kilometres race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,362,6,0.0125,"10,000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,1,6,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,362,7,0.0125,"10 kilometres walk","Walking","1912 Stockholm","George Goulding Canada","Ernest Webb Great Britain","Fernando Altimani Italy","men","Stockholm","George Goulding ","Ernest Webb ","Fernando Altimani ","Canada","Great Britain","Italy"
1920,6,1,7,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,6,362,8,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,7,1,8,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,7,362,9,0.0125,"4 × 400 metres relay","Running","1924 Paris","United States (USA)Commodore CochranAlan HelffrichOliver MacDonaldWilliam Stevenson","Sweden (SWE)Artur SvenssonErik ByléhnGustaf WejnarthNils Engdahl","Great Britain (GBR)Edward TomsGeorge RenwickRichard RipleyGuy Butler","men","Paris"," (USA)Commodore CochranAlan HelffrichOliver MacDonaldWilliam Stevenson"," (SWE)Artur SvenssonErik ByléhnGustaf WejnarthNils Engdahl"," (GBR)Edward TomsGeorge RenwickRichard RipleyGuy Butler","United States","Sweden","Great Britain"
1928,8,1,9,0.0125,"4 × 100 metres relay","Running","1928 Amsterdam","Canada (CAN)Fanny RosenfeldEthel SmithJane BellMyrtle Cook","United States (USA)Mary WashburnJessie CrossLoretta McNeilBetty Robinson","Germany (GER)Rosa KellnerLeni SchmidtAnni HoldmannLeni Junker","women","Amsterdam"," (CAN)Fanny RosenfeldEthel SmithJane BellMyrtle Cook"," (USA)Mary WashburnJessie CrossLoretta McNeilBetty Robinson"," (GER)Rosa KellnerLeni SchmidtAnni HoldmannLeni Junker","Canada","United States","Germany"
1928,8,1,9,0.0125,"4 × 100 metres relay","Running","1928 Amsterdam","United States (USA)Frank WykoffJames QuinnCharley BorahHenry Russell","Germany (GER)Georg LammersRichard CortsHubert HoubenHelmut Körnig","Great Britain (GBR)Cyril GillEdward SmouhaWalter RangeleyJack London","men","Amsterdam"," (USA)Frank WykoffJames QuinnCharley BorahHenry Russell"," (GER)Georg LammersRichard CortsHubert HoubenHelmut Körnig"," (GBR)Cyril GillEdward SmouhaWalter RangeleyJack London","United States","Germany","Great Britain"
